name,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range
The Gotham Hotel,12/9/2017,12/10/2017,2,1,"16 E 46th St, Between Fifth Ave and Madison Ave, New York City, NY 10017-2471",,817,4,487,172-516
Lowell Hotel,12/9/2017,12/10/2017,2,1,"28 E 63rd St, Between Madison and Park Avenues, New York City, NY 10065-8088",Orbitz.com,318,4.5,990,621-2159
The Dorset,12/9/2017,12/10/2017,2,1,"30 W 54th St, New York City, NY 10019-5405",,2,2,324,175-475
3 West Club,12/9/2017,12/10/2017,2,1,"3 W 51st St, New York City, NY 10019-6909",Hotels.com,,4,297,131-359
Flatiron Hotel,12/9/2017,12/10/2017,2,1,"9 W 26th St, New York City, NY 10010-1003",Travelocity,792,4,419,184-486
W New York,12/9/2017,12/10/2017,2,1,"541 Lexington Avenue, between 49th St and 50th St, New York City, NY 10022-7503",AMOMA,"4,499",3.5,356,163-597
Embassy Suites by Hilton New York Midtown Manhattan,12/9/2017,12/10/2017,2,1,"60 W 37th St, New York City, NY 10018-7401",,0,-1,456,166-575
The Hilton Club - New York,12/9/2017,12/10/2017,2,1,"1335 Avenue of the Americas, 36th, 37th and 38th Floors of the Hilton New York, New York City, NY 10019-6012",Hilton.com,668,4.5,683,297-916
6 Columbus - A SIXTY Hotel,12/9/2017,12/10/2017,2,1,"308 W 58th St, New York City, NY 10019-1804",SixtyHotels.com,"1,128",4,504,182-587
Courtyard,12/9/2017,12/10/2017,2,1,"1717 Broadway, New York City, NY 10019-5214",,5,3.5,423,245-564
AC Hotel Times Square,12/9/2017,12/10/2017,2,1,"260 W 40th St, New York City, NY 10018",,0,-1,421,284-436
Washington Square Hotel,12/9/2017,12/10/2017,2,1,"103 Waverly Place, New York City, NY 10011-9194",Booking.com,"1,461",4,323,212-438
IBEROSTAR 70 Park Avenue Hotel,12/9/2017,12/10/2017,2,1,"70 Park Ave, New York City, NY 10016-2504",Hotels.com,"2,348",4,422,155-492
